yearweek,level_bin,avg_enter_cnt
200848,40~49,2.4554
200848,50~59,1.9980
200848,60~69,3.2000
200848,70~79,3.4155
200848,80~,4.6210
200849,~10,1.4354
200849,10~19,1.9836
200849,20~29,2.2892
200849,30~39,2.0258
200849,40~49,2.3670
200849,50~59,1.9434
200849,60~69,3.0167
200849,70~79,3.3203
200849,80~,5.3010
200850,~10,1.5302
200850,10~19,2.0329
200850,20~29,2.1366
200850,30~39,2.4310
200850,40~49,2.5481
200850,50~59,1.9623
200850,60~69,2.7228
200850,70~79,3.3123
200850,80~,5.6526
200851,~10,1.5230
200851,10~19,1.9150
200851,20~29,2.1991
200851,30~39,2.2012
200851,40~49,2.3051
200851,50~59,2.0399
200851,60~69,2.4745
200851,70~79,3.1660
200851,80~,5.6023
200852,~10,1.3563
200852,10~19,1.4769
200852,20~29,1.7024
200852,30~39,1.6905
200852,40~49,1.9785
200852,50~59,1.6709
200852,60~69,2.0256
200852,70~79,2.2104
200852,80~,3.4557
